Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
01/01/2024,0.0,27.5,27.6,27.4,76.0,76.0,74.0,22.7,22.8,22.4,1007.9,1007.9,1007.3,1.0,73.0,3.6,1.2,0.0
01/01/2024,100.0,27.5,27.6,27.3,75.0,76.0,75.0,22.7,23.0,22.7,1008.3,1008.3,1007.8,0.8,69.0,3.5,1.2,0.0
01/01/2024,200.0,27.3,27.5,27.3,77.0,78.0,75.0,23.0,23.0,22.7,1007.8,1008.4,1007.7,0.8,43.0,2.7,1.3,0.0
01/01/2024,300.0,27.3,27.4,27.2,76.0,77.0,76.0,22.7,23.0,22.6,1007.4,1007.8,1007.3,0.9,64.0,4.1,0.8,0.0
01/01/2024,400.0,27.3,27.4,27.3,77.0,77.0,75.0,23.0,23.0,22.6,1007.1,1007.4,1007.0,1.3,47.0,3.8,0.5,0.0
01/01/2024,500.0,27.3,27.3,27.2,78.0,78.0,76.0,23.2,23.2,22.5,1006.5,1007.1,1006.4,1.3,38.0,3.8,0.5,0.0
01/01/2024,600.0,27.3,27.4,27.2,77.0,79.0,77.0,22.9,23.3,22.8,1006.4,1006.5,1006.4,0.6,69.0,3.6,0.9,0.0
01/01/2024,700.0,26.1,27.4,26.1,84.0,84.0,77.0,23.2,23.2,22.8,1006.7,1006.7,1006.3,1.5,311.0,4.0,0.7,0.0
01/01/2024,800.0,24.8,26.1,24.7,96.0,96.0,84.0,24.1,24.1,23.3,1007.1,1007.2,1006.6,0.5,89.0,4.7,0.6,30.4
01/01/2024,900.0,25.2,25.3,24.8,96.0,96.0,96.0,24.6,24.6,24.0,1007.5,1007.5,1007.0,0.9,193.0,1.5,54.8,1.0
01/01/2024,1000.0,24.7,25.3,24.5,96.0,96.0,96.0,24.0,24.6,23.7,1007.9,1007.9,1007.5,0.6,196.0,3.1,68.5,0.4
01/01/2024,1100.0,24.9,25.0,24.7,96.0,96.0,96.0,24.1,24.3,24.0,1008.6,1008.7,1007.9,1.0,228.0,2.4,94.4,2.2
01/01/2024,1200.0,24.8,25.0,24.5,96.0,96.0,96.0,24.2,24.3,23.7,1008.8,1008.9,1008.6,0.7,91.0,3.5,308.3,5.4
01/01/2024,1300.0,24.7,25.2,24.5,95.0,96.0,95.0,23.8,24.5,23.6,1008.8,1009.1,1008.8,0.9,40.0,3.5,449.6,0.4
